Altium Designer Pick and Place Locations
N:\Kunder\GomSpace\Projects\P60-ACU210\Project Outputs for ax600\Pick Place for p60-acu210.csv

========================================================================================================================
File Design Information:

Date:       02-03-17
Time:       15:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R41","Res3","TopLayer","0402","5.800","8.300","360","Resistor"
"R40","Res3","TopLayer","0402","5.800","7.300","360","Resistor"
"R32","Res3","TopLayer","0402","4.100","24.500","90","Resistor"
"R31","Res3","TopLayer","0402","2.500","25.100","180","Resistor"
"R30","Res3","TopLayer","0402","5.700","24.600","360","Resistor"
"R29","Res3","TopLayer","0402","5.500","21.600","360","Resistor"
"C45","Cap Semi","TopLayer","0402","2.500","24.000","360","Capacitor (Semiconductor SIM Model)"
"C44","Cap Semi","TopLayer","0402","12.300","15.300","90","Capacitor (Semiconductor SIM Model)"
"C43","Cap Semi","TopLayer","0402","7.700","25.800","360","Capacitor (Semiconductor SIM Model)"
"C42","Cap Semi","TopLayer","0402","6.000","26.200","90","Capacitor (Semiconductor SIM Model)"
"C41","Cap Semi","TopLayer","0402","13.700","28.500","270","Capacitor (Semiconductor SIM Model)"
"C40","Cap Semi","TopLayer","0402","5.800","20.500","360","Capacitor (Semiconductor SIM Model)"
"C39","Cap Semi","TopLayer","0402","20.700","21.300","180","Capacitor (Semiconductor SIM Model)"
"C38","Cap Semi","TopLayer","1608[0603]","20.200","18.100","90","Capacitor (Semiconductor SIM Model)"
"C36","Cap Semi","TopLayer","0402","11.200","34.000","360","Capacitor (Semiconductor SIM Model)"
"C35","Cap Semi","TopLayer","0402","20.700","26.800","180","Capacitor (Semiconductor SIM Model)"
"C34","Cap Semi","TopLayer","0402","20.700","22.400","360","Capacitor (Semiconductor SIM Model)"
"C33","Cap Semi","TopLayer","0402","13.400","8.800","180","Capacitor (Semiconductor SIM Model)"
"C32","Cap Semi","BottomLayer","0805","12.900","5.900","180","Capacitor (Semiconductor SIM Model)"
"R28","Res3","TopLayer","0402","13.750","7.250","90","Resistor"
"P4","FPC-51281-1894","TopLayer","51281-1894","12.275","3.870","360","FPC, 0.5mm pitch, Molex, 1.2mm height."
"U9","LTC6909","TopLayer","MSOP-16","7.000","13.412","90","1 to 8 Output, Multiphase  Silicon Oscillator with Spread  Spectrum Modulation"
"U8_b1","LTC1601","BottomLayer","SOT-23-5","41.000","16.000","90","High-Side Current Sens Amplifier"
"U2_b2","LTC1601","BottomLayer","SOT-23-5","41.000","23.000","90","High-Side Current Sens Amplifier"
"U2_b1","LTC1601","BottomLayer","SOT-23-5","41.000","9.000","90","High-Side Current Sens Amplifier"
"R27_b2","Res3","BottomLayer","0402","27.900","21.300","270","Resistor"
"R27_b1","Res3","BottomLayer","0402","27.900","19.000","90","Resistor"
"R26_b2","Res3","BottomLayer","0402","25.700","21.300","90","Resistor"
"R26_b1","Res3","BottomLayer","0402","25.700","19.000","270","Resistor"
"R24_b2","Res3","BottomLayer","0402","29.000","21.300","90","Resistor"
"R24_b1","Res3","BottomLayer","0402","29.000","19.000","270","Resistor"
"R22_b2","Res3","BottomLayer","0402","45.000","28.250","90","Resistor"
"R22_b1","Res3","BottomLayer","0402","45.000","14.250","90","Resistor"
"R15_b2","Res3","BottomLayer","0402","13.600","35.300","90","Resistor"
"R15_b1","Res3","BottomLayer","0402","8.400","7.300","270","Resistor"
"R14_b2","Res3","BottomLayer","0402","22.400","21.300","270","Resistor"
"R14_b1","Res3","BottomLayer","0402","22.400","19.000","90","Resistor"
"R13_b2","Res3","BottomLayer","0402","20.200","21.300","90","Resistor"
"R12_b2","Res3","BottomLayer","0402","13.600","37.400","90","Resistor"
"R12_b1","Res3","BottomLayer","0402","9.500","7.300","90","Resistor"
"R10_b2","Res3","BottomLayer","0402","23.500","21.300","90","Resistor"
"R10_b1","Res3","BottomLayer","0402","23.500","19.000","270","Resistor"
"R9_b1","Res3","BottomLayer","0402","10.100","5.700","360","Resistor"
"R7_b2","Res3","BottomLayer","0402","45.000","26.000","180","Resistor"
"R7_b1","Res3","BottomLayer","0402","45.000","12.000","180","Resistor"
"R6_b2","Res3","BottomLayer","0402","11.400","37.400","270","Resistor"
"R6_b1","Res3","BottomLayer","0402","5.100","7.300","90","Resistor"
"R5_b2","Res3","BottomLayer","0402","12.500","37.400","90","Resistor"
"R5_b1","Res3","BottomLayer","0402","4.000","7.300","270","Resistor"
"R4_b2","Res3","BottomLayer","0402","45.000","21.250","90","Resistor"
"R4_b1","Res3","BottomLayer","0402","45.000","7.250","90","Resistor"
"D5_b1","D Zener 39V","BottomLayer","D0603","46.250","17.000","90","Zener Diode"
"D4_b2","D Zener 39V","BottomLayer","D0603","46.250","24.000","90","Zener Diode"
"D4_b1","D Zener 39V","BottomLayer","D0603","46.250","10.000","90","Zener Diode"
"D2","D Zener 39V","BottomLayer","D0603","25.700","15.100","360","Zener Diode"
"D1_b2","SS8P6C","TopLayer","TO-227A(SMPC)","17.000","31.825","180",""
"D1_b1","SS8P6C","TopLayer","TO-227A(SMPC)","17.000","8.175","0",""
"C29_b1","Cap Semi","BottomLayer","0402","10.600","7.300","90","Capacitor (Semiconductor SIM Model)"
"C28","Cap Semi","TopLayer","0402","7.800","9.900","180","Capacitor (Semiconductor SIM Model)"
"C27_b2","Cap Semi","BottomLayer","0402","26.800","21.300","270","Capacitor (Semiconductor SIM Model)"
"C27_b1","Cap Semi","BottomLayer","0402","26.800","19.000","90","Capacitor (Semiconductor SIM Model)"
"C26_b2","Cap Semi","BottomLayer","0402","24.600","21.300","90","Capacitor (Semiconductor SIM Model)"
"C26_b1","Cap Semi","BottomLayer","0402","24.600","19.000","270","Capacitor (Semiconductor SIM Model)"
"C25_b1","Cap Semi","BottomLayer","0402","43.500","17.000","270","Capacitor (Semiconductor SIM Model)"
"C22_b2","Cap Semi","BottomLayer","0402","46.250","28.250","270","Capacitor (Semiconductor SIM Model)"
"C22_b1","Cap Semi","BottomLayer","0402","46.250","14.250","270","Capacitor (Semiconductor SIM Model)"
"C20_b2","KCM55WR71J226MH01K","TopLayer","2220-STACKED-6.7","48.000","32.000","270","Polarized Capacitor (Surface Mount)"
"C20_b1","KCM55WR71J226MH01K","TopLayer","2220-STACKED-6.7","48.000","16.000","270","Polarized Capacitor (Surface Mount)"
"C19_b2","Cap Semi","BottomLayer","0402","10.300","37.400","270","Capacitor (Semiconductor SIM Model)"
"C19_b1","Cap Semi","BottomLayer","0402","6.200","7.300","90","Capacitor (Semiconductor SIM Model)"
"C17_b2","1uF","BottomLayer","C1206","13.400","12.000","90","Capacitor (Semiconductor SIM Model)"
"C17_b1","1uF","BottomLayer","C1206","13.250","20.000","270","Capacitor (Semiconductor SIM Model)"
"C10_b2","Cap Semi","BottomLayer","0402","12.500","35.300","90","Capacitor (Semiconductor SIM Model)"
"C10_b1","Cap Semi","BottomLayer","0402","7.300","7.300","270","Capacitor (Semiconductor SIM Model)"
"C9_b2","Cap Semi","BottomLayer","0402","21.300","21.300","270","Capacitor (Semiconductor SIM Model)"
"C9_b1","Cap Semi","BottomLayer","0402","21.300","19.000","90","Capacitor (Semiconductor SIM Model)"
"C8_b2","Cap Semi","BottomLayer","0402","43.500","24.000","90","Capacitor (Semiconductor SIM Model)"
"C8_b1","Cap Semi","BottomLayer","0402","43.500","10.000","90","Capacitor (Semiconductor SIM Model)"
"C5_b2","KCM55WR71J226MH01K","TopLayer","2220-STACKED-6.7","25.650","24.000","90","Polarized Capacitor (Surface Mount)"
"C5_b1","KCM55WR71J226MH01K","TopLayer","2220-STACKED-6.7","25.650","16.000","270","Polarized Capacitor (Surface Mount)"
"C4_b2","KCM55WR71J226MH01K","TopLayer","2220-STACKED-6.7","48.000","24.000","270","Polarized Capacitor (Surface Mount)"
"C4_b1","KCM55WR71J226MH01K","TopLayer","2220-STACKED-6.7","48.000","8.000","270","Polarized Capacitor (Surface Mount)"
"C2_b2","Cap Semi","BottomLayer","0402","46.250","21.250","270","Capacitor (Semiconductor SIM Model)"
"C2_b1","Cap Semi","BottomLayer","0402","46.250","7.250","270","Capacitor (Semiconductor SIM Model)"
"U4","LM4040AIM3-2.5","TopLayer","SOT23","8.600","7.500","360","Precision Micropower Shunt Voltage Reference"
"C11","Cap Semi","TopLayer","0402","11.200","6.600","90","Capacitor (Semiconductor SIM Model)"
"X1","NM","BottomLayer","SAMTEC-FSI-110-D","5.825","14.120","90",""
"R2","Res3","BottomLayer","J1-0603","25.700","16.600","180","Resistor"
"R1_b1","Res3","BottomLayer","0603","42.250","12.000","360","Resistor"
"R1_b2","Res3","BottomLayer","0603","42.250","26.000","360","Resistor"
"R8_b1","Res3","BottomLayer","0603","42.250","19.000","360","Resistor"
"R19","Res3","TopLayer","0402","11.400","8.800","360","Resistor"
"X2","NM","BottomLayer","SAMTEC-FSI-110-D","5.825","27.620","90",""
"C47","Cap Semi","TopLayer","0402","11.200","15.300","270","Capacitor (Semiconductor SIM Model)"
"C48","Cap Semi","TopLayer","0402","6.000","17.100","0","Capacitor (Semiconductor SIM Model)"
"C49","Cap Semi","TopLayer","0402","2.000","11.900","270","Capacitor (Semiconductor SIM Model)"
"C50","Cap Semi","TopLayer","0402","6.100","30.700","180","Capacitor (Semiconductor SIM Model)"
"C51","Cap Semi","TopLayer","0402","5.900","33.600","180","Capacitor (Semiconductor SIM Model)"
"C54","Cap Semi","TopLayer","0402","20.700","20.200","180","Capacitor (Semiconductor SIM Model)"
"C55","Cap Semi","TopLayer","1608[0603]","21.700","18.100","90","Capacitor (Semiconductor SIM Model)"
"R45","Res3","TopLayer","0402","4.200","13.900","270","Resistor"
"R46","Res3","TopLayer","0402","10.100","15.300","90","Resistor"
"U15","LTC2633-10","TopLayer","TSOT23-8","3.200","31.300","270","Dual 12-/10-/8-Bit I2C  VOUT DACs with  10ppm/°C Reference"
"C1","Cap Semi","TopLayer","0402","5.800","6.300","180","Capacitor (Semiconductor SIM Model)"
"U6","LTC2633-10","TopLayer","TSOT23-8","3.100","8.700","90","Dual 12-/10-/8-Bit I2C  VOUT DACs with  10ppm/°C Reference"
"C58","Cap Semi","TopLayer","0402","13.200","34.000","180","Capacitor (Semiconductor SIM Model)"
"C59","Cap Semi","TopLayer","0402","9.100","34.000","180","Capacitor (Semiconductor SIM Model)"
"C60","Cap Semi","TopLayer","0402","7.700","31.300","270","Capacitor (Semiconductor SIM Model)"
"C61","Cap Semi","TopLayer","0402","6.500","28.100","90","Capacitor (Semiconductor SIM Model)"
"U17","ADS1118","TopLayer","MSOP-10","11.300","31.800","180","16-Bit  Analog-to-Digital Converter and Temperature Sensor with Internal Reference"
"U18","ADS1118","TopLayer","MSOP-10","10.100","28.500","0","16-Bit  Analog-to-Digital Converter and Temperature Sensor with Internal Reference"
"C62","Cap Semi","BottomLayer","0402","7.100","20.900","360","Capacitor (Semiconductor SIM Model)"
"C63","Cap Semi","BottomLayer","0402","15.000","19.200","90","Capacitor (Semiconductor SIM Model)"
"C64","Cap Semi","BottomLayer","1608[0603]","17.400","20.200","90","Capacitor (Semiconductor SIM Model)"
"R50","Res3","BottomLayer","0402","11.100","20.900","180","Resistor"
"R51","Res3","BottomLayer","0402","9.100","20.900","360","Resistor"
"R52","Res3","BottomLayer","0402","16.100","21.300","270","Resistor"
"R53","Res3","BottomLayer","0402","16.100","19.200","270","Resistor"
"D3","CZRU52C39","TopLayer","D0603","12.500","6.900","270","Schottky Diode"
"P1","TFM-115-02-L-DH","TopLayer","TFM-115-02-X-DH","55.765","20.055","90","15 pos 2 row 30 pin TFM, samtec"
"R34","Res3","TopLayer","0402","8.000","17.100","180","Resistor"
"R54","Res3","BottomLayer","0402","7.500","3.300","180","Resistor"
"R55","Res3","BottomLayer","0402","13.900","3.300","360","Resistor"
"U26","LTC4303","BottomLayer","DFN8-3x3-0.5p","10.700","3.300","360",""
"U28","MCP1316T-46","TopLayer","SOT-23-5","11.750","36.650","270","Watchdog with 5V Voltage supervisor"
"C15","0.10µF","TopLayer","CAPC0402(1005)_N","14.500","36.600","90","CAP CER 0.1UF 25V X7R 0402"
"R23_b2","Res3","BottomLayer","0402","8.700","34.000","180","Resistor"
"C30_b2","Cap Semi","BottomLayer","0402","6.600","34.000","360","Capacitor (Semiconductor SIM Model)"
"C30_b1","Cap Semi","BottomLayer","0402","2.900","7.300","270","Capacitor (Semiconductor SIM Model)"
"R23_b1","Res3","BottomLayer","0402","1.800","7.300","270","Resistor"
"R20_b1","Res3","BottomLayer","0402","45.000","19.000","180","Resistor"
